,munid_cur,tier_cur_x,regionShort,munname_cur,"Population, 2021 (UT Roll Up)","Land area in acres, 2021 (UT Roll Up)",Farm Property Count,Farm Acres,2023 FAM
0,1950,ST,GTA,Toronto C,2794356,155947.9655,5,1244.164413,0.008
1,1800,UT,GTA,Durham R,696867,622341.3556,4640,321419.4332,0.5165
2,1813,LT,GTA,Oshawa C,175383,36008.1406,159,9611.600032,0.2669
3,1801,LT,GTA,Pickering C,99186,57105.9655,465,23563.919,0.4126
4,1805,LT,GTA,Ajax T,126666,16467.0772,36,1701.008313,0.1033
5,1817,LT,GTA,Clarington M,101427,150941.6182,1258,76910.70271,0.5095
6,1809,LT,GTA,Whitby T,138501,36247.83245,195,9696.22724,0.2675
7,1839,LT,GTA,Brock Tp,12567,104436.4572,822,69525.52758,0.6657
8,1820,LT,GTA,Scugog Tp,21581,117221.6699,892,73534.94988,0.6273
9,1829,LT,GTA,Uxbridge Tp,21556,103912.5946,813,56875.4984,0.5473
10,2810,ST,Central,Haldimand Co,49216,308992.4473,3149,236760.7984,0.7662
11,3310,ST,Southwest,Norfolk Co,67490,394794.7164,4255,292970.5002,0.7421
12,2400,UT,GTA,Halton R,596637,238629.2985,1366,78478.74405,0.3289
13,2402,LT,GTA,Burlington C,186948,45991.1826,226,12059.73017,0.2622
14,2415,LT,GTA,Halton Hills T,62951,68401.13505,483,31185.46996,0.4559
15,2409,LT,GTA,Milton T,132979,89904.21215,589,32679.08189,0.3635
16,2401,LT,GTA,Oakville T,213759,34332.7687,68,2554.462028,0.0744
17,2518,ST,Central,Hamilton C,569353,276339.9925,2621,143114.8646,0.5179
18,2600,UT,Central,Niagara R,477941,457843.5572,6004,229571.4983,0.5014
19,2725,LT,Central,Niagara Falls C,94415,51953.82625,298,14012.53188,0.2697
20,2711,LT,Central,Port Colborne C,20033,30144.33895,284,13334.3195,0.4423
21,2629,LT,Central,St. Catharines C,136803,23771.501,242,4555.44626,0.1916
22,2719,LT,Central,Welland C,55750,20055.0418,101,3575.737661,0.1783
23,2731,LT,Central,Thorold C,23816,20581.37545,194,6194.297271,0.301
24,2703,LT,Central,Fort Erie T,32901,41078.7352,261,12002.18782,0.2922
25,2615,LT,Central,Grimsby T,28883,16978.58455,223,7515.304705,0.4426
26,2622,LT,Central,Lincoln T,25719,40213.8677,962,24467.55905,0.6084
27,2627,LT,Central,Niagara-on-the-Lake T,19088,32457.24175,871,17923.08269,0.5522
28,2732,LT,Central,Pelham T,18192,31221.71675,518,15849.29998,0.5076
29,2714,LT,Central,Wainfleet Tp,6887,53752.75065,703,35104.19265,0.6531
30,2602,LT,Central,West Lincoln Tp,15454,95634.5771,1347,75037.5388,0.7846
31,614,ST,East,Ottawa C,1017449,688978.161,3584,268186.7196,0.3893
32,2100,UT,GTA,Peel R,1451022,308251.1323,1574,85221.54824,0.2765
